Datetime,Ticker,High,Low,Source
2026-06-08 15:30,MSFT,413.28,411.19,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-09 9:30,MSFT,411.94,407.25,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-09 10:30,MSFT,410,403.52,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-09 11:30,MSFT,403.9,400.49,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-09 12:30,MSFT,402.1,398.49,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-09 13:30,MSFT,403.96,401.59,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-09 14:30,MSFT,404.44,402.45,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-09 15:30,MSFT,404.21,401.46,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-10 9:30,MSFT,405.03,397.5,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-10 10:30,MSFT,403.56,401.38,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-10 11:30,MSFT,403.74,401.08,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-10 12:30,MSFT,403.81,401.54,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-10 13:30,MSFT,402.19,400.35,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-10 14:30,MSFT,401.13,398.25,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-10 15:30,MSFT,399.3,397.2,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-11 9:30,MSFT,396.8,388.26,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-11 10:30,MSFT,391.31,386.35,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-11 11:30,MSFT,389.28,386.14,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-11 12:30,MSFT,388.75,384,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-11 13:30,MSFT,389.78,386.55,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-11 14:30,MSFT,389.12,386.59,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-11 15:30,MSFT,391.35,387.07,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-12 9:30,MSFT,391.74,382.27,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-12 10:30,MSFT,389.97,384,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-12 11:30,MSFT,389.06,386.6,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-12 12:30,MSFT,389,386.97,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-12 13:30,MSFT,388.28,386.51,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-12 14:30,MSFT,389.73,387.38,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-12 15:30,MSFT,392.25,389.03,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-15 9:30,MSFT,399.59,392.85,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-15 10:30,MSFT,399.08,397.25,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-15 11:30,MSFT,401.64,398.08,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-15 12:30,MSFT,401.75,398.7,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-15 13:30,MSFT,399.95,398.91,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-15 14:30,MSFT,399.8,398.26,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-15 15:30,MSFT,400.59,398.27,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-16 9:30,MSFT,397.7,390.95,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-16 10:30,MSFT,394.35,392.45,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-16 11:30,MSFT,393.94,391.39,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-16 12:30,MSFT,392.61,391.4,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-16 13:30,MSFT,392.23,390.69,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-16 14:30,MSFT,393.55,392.06,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-16 15:30,MSFT,394.31,392.96,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-17 9:30,MSFT,390.36,386.76,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-17 10:30,MSFT,387.71,384.63,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-17 11:30,MSFT,386.64,385.17,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-17 12:30,MSFT,385.38,383.2,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-17 13:30,MSFT,385.97,382.63,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-17 14:30,MSFT,383.9,378.86,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-17 15:30,MSFT,379.88,377.32,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-18 9:30,MSFT,379.63,373.27,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-18 10:30,MSFT,378.45,374.82,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-18 11:30,MSFT,378.78,375.06,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-18 12:30,MSFT,381.37,378.55,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
